name;derivationLength;meteo_path;sowing_date;site;densite;num_gener;cutting_freq;option_tontes;option_tallage;option_senescence;option_floraison;option_reproduction;option_caribu;option_tiller_regression;option_mophogenetic_regulation_by_carbone;HCOUP
scenario_test1;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;14;False;True;False;False;False;True;False;True;
scenario_test2;750;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;4;14;False;True;False;True;spikelets;False;False;False;
scenario_test3;750;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;4;14;False;True;False;True;SPPR_2012;False;False;False;
h_cut_10;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;10
h_cut_15;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;15
h_cut_20;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;20
h_cut_25;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;25
h_cut_30;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;30
h_cut_35;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;35
h_cut_40;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;40
h_cut_45;1500;inputs/meteo_controlled_conditions.csv;2018_11_13;treatment_1;400;1;21;True;True;False;False;False;False;False;False;45
